dataset,detector,failure_type,analysis_class_name,object_size_bin,risk_level,count,high_confidence_count,safety_relevant_count,mean_score,mean_iou,mean_best_same_class_iou,mean_best_wrong_class_iou
waymo,rtdetr,class_confusion,Cyclist,small,high,129,0,129,0.02412655,0.415698,0.276708,0.415698
waymo,rtdetr,class_confusion,Cyclist,medium,high,3,0,3,0.00726703,0.341173,0.153831,0.341173
waymo,rtdetr,class_confusion,Cyclist,large,high,3,0,3,0.00691275,0.398111,0.365703,0.398111
waymo,rtdetr,duplicate_detection,Vehicle,small,low,3215,156,0,0.05979995,0.613567,0.613567,
waymo,rtdetr,duplicate_detection,Vehicle,medium,low,2471,13,0,0.01609482,0.63976,0.63976,
waymo,rtdetr,duplicate_detection,Vehicle,large,low,1913,1,0,0.00912729,0.658599,0.658599,
waymo,rtdetr,duplicate_detection,Pedestrian,small,low,2906,54,2906,0.0413145,0.61678,0.61678,
waymo,rtdetr,duplicate_detection,Pedestrian,medium,low,1757,23,1757,0.0263062,0.676379,0.676379,
waymo,rtdetr,duplicate_detection,Pedestrian,large,low,369,13,369,0.03970856,0.691333,0.691333,
waymo,rtdetr,duplicate_detection,Cyclist,small,low,331,1,331,0.02608474,0.624438,0.624438,
waymo,rtdetr,duplicate_detection,Cyclist,medium,low,211,0,211,0.01471206,0.654024,0.654024,
waymo,rtdetr,duplicate_detection,Cyclist,large,low,12,1,12,0.06640309,0.621989,0.621989,
waymo,rtdetr,true_positive,Vehicle,small,none,3107,1626,0,0.39499787,0.698781,0.698781,
waymo,rtdetr,true_positive,Vehicle,medium,none,1225,874,0,0.59786655,0.771939,0.771939,
waymo,rtdetr,true_positive,Vehicle,large,none,729,536,0,0.65550499,0.807435,0.807435,
waymo,rtdetr,true_positive,Pedestrian,small,none,1505,526,1505,0.25496498,0.657583,0.657583,
waymo,rtdetr,true_positive,Pedestrian,medium,none,290,238,290,0.6532432,0.755315,0.755315,
waymo,rtdetr,true_positive,Pedestrian,large,none,45,45,45,0.8361851,0.800802,0.800802,
waymo,rtdetr,true_positive,Cyclist,small,none,168,53,168,0.25517487,0.634852,0.634852,
waymo,rtdetr,true_positive,Cyclist,medium,none,58,37,58,0.49508569,0.657272,0.657272,
waymo,rtdetr,true_positive,Cyclist,large,none,5,4,5,0.68425359,0.763,0.763,
waymo,retinanet,false_negative,Vehicle,small,medium,12481,0,0,,,0.022541,0.005518
waymo,retinanet,false_negative,Vehicle,medium,medium,579,0,0,,,0.075405,0.008602
waymo,retinanet,false_negative,Vehicle,large,medium,145,0,0,,,0.113806,0.014335
waymo,retinanet,false_negative,Pedestrian,small,critical,5881,0,5881,,,0.030712,0.016282
waymo,retinanet,false_negative,Pedestrian,medium,critical,67,0,67,,,0.152309,0.159431
waymo,retinanet,false_negative,Pedestrian,large,critical,2,0,2,,,0.471459,0.256988
waymo,retinanet,false_negative,Cyclist,small,critical,602,0,602,,,0.012465,0.055247
waymo,retinanet,false_negative,Cyclist,medium,critical,12,0,12,,,0.041331,0.093457
waymo,retinanet,false_negative,Cyclist,large,critical,10,0,10,,,0.0,0.071311
waymo,retinanet,false_positive,Vehicle,not_applicable,low,1969,572,0,0.26017758,0.310584,0.279194,
waymo,retinanet,false_positive,Pedestrian,not_applicable,medium,1503,503,1503,0.26506685,0.323062,0.209561,
waymo,retinanet,false_positive,Cyclist,not_applicable,medium,379,89,379,0.22657318,0.531166,0.054044,
waymo,retinanet,localization_error,Vehicle,small,low,878,444,0,0.42169265,0.287099,0.287099,0.02487
waymo,retinanet,localization_error,Vehicle,medium,low,115,51,0,0.42330241,0.328869,0.328869,0.019135
waymo,retinanet,localization_error,Vehicle,large,low,54,27,0,0.38436513,0.299005,0.299005,0.028069
