dataset,detector,image_id,image_path,missed_pedestrians,missed_cyclists,small_missed_vru,medium_missed_vru,large_missed_vru,total_safety_false_negatives,max_best_same_class_iou,max_best_wrong_class_iou,safety_critical_score,image_width,image_height,total_gt_in_image,total_predictions_in_image
waymo,faster_rcnn,13356997604177841771_3360_000_3380_000_1557267378087469,data\processed\milestone_3\images\waymo\external\13356997604177841771_3360_000_3380_000_1557267378087469.png,31,1,32,0,0,32,0.073115,0.082436,48.25,640,640,48,13
waymo,faster_rcnn,13356997604177841771_3360_000_3380_000_1557267378587691,data\processed\milestone_3\images\waymo\external\13356997604177841771_3360_000_3380_000_1557267378587691.png,31,1,32,0,0,32,0.052642,0.004818,48.25,640,640,48,15
waymo,faster_rcnn,8506432817378693815_4860_000_4880_000_1557857356134808,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857356134808.png,31,1,32,0,0,32,0.487443,0.629782,48.25,640,640,61,21
waymo,faster_rcnn,8506432817378693815_4860_000_4880_000_1557857364637449,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857364637449.png,31,1,32,0,0,32,0.459501,0.46286,48.25,640,640,48,20
waymo,yolo,9114112687541091312_1100_000_1120_000_1544144339316236,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144339316236.png,29,3,31,1,0,32,0.0,0.599793,48.25,640,640,44,1
waymo,faster_rcnn,9114112687541091312_1100_000_1120_000_1544144340316344,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144340316344.png,29,3,31,1,0,32,0.467624,0.354953,48.25,640,640,46,10
waymo,retinanet,8506432817378693815_4860_000_4880_000_1557857357135138,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857357135138.png,32,0,32,0,0,32,0.48517,0.353705,48.0,640,640,59,23
waymo,yolo,9114112687541091312_1100_000_1120_000_1544144344316123,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144344316123.png,30,2,31,1,0,32,0.0,0.0,48.0,640,640,47,3
waymo,yolo,9114112687541091312_1100_000_1120_000_1544144324716280,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144324716280.png,28,3,31,0,0,31,0.0,0.0,47.25,640,640,45,3
waymo,yolo,9114112687541091312_1100_000_1120_000_1544144326716290,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144326716290.png,28,3,31,0,0,31,0.0,0.0,47.25,640,640,46,3
waymo,yolo,9114112687541091312_1100_000_1120_000_1544144333316285,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144333316285.png,28,3,31,0,0,31,0.0,0.0,47.25,640,640,43,5
waymo,yolo,9114112687541091312_1100_000_1120_000_1544144334816198,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144334816198.png,28,3,31,0,0,31,0.0,0.0,47.25,640,640,44,2
waymo,yolo,9114112687541091312_1100_000_1120_000_1544144335816195,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144335816195.png,28,3,31,0,0,31,0.0,0.0,47.25,640,640,45,4
waymo,yolo,9114112687541091312_1100_000_1120_000_1544144337816224,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144337816224.png,28,3,31,0,0,31,0.0,0.0,47.25,640,640,43,2
waymo,yolo,9114112687541091312_1100_000_1120_000_1544144342316340,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144342316340.png,28,3,31,0,0,31,0.0,0.0,47.25,640,640,46,4
waymo,yolo,9114112687541091312_1100_000_1120_000_1544144342816305,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144342816305.png,28,3,31,0,0,31,0.053645,0.0,47.25,640,640,46,6
waymo,yolo,9114112687541091312_1100_000_1120_000_1544144343316292,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144343316292.png,28,3,31,0,0,31,0.0,0.0,47.25,640,640,46,5
waymo,rtdetr,9114112687541091312_1100_000_1120_000_1544144339816354,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144339816354.png,28,3,31,0,0,31,0.433002,0.433002,47.25,640,640,47,300
waymo,retinanet,9114112687541091312_1100_000_1120_000_1544144340316344,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144340316344.png,28,3,31,0,0,31,0.317782,0.0,47.25,640,640,46,10
waymo,retinanet,9114112687541091312_1100_000_1120_000_1544144342816305,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144342816305.png,28,3,31,0,0,31,0.0,0.0,47.25,640,640,46,8
waymo,faster_rcnn,9114112687541091312_1100_000_1120_000_1544144337316333,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144337316333.png,28,3,31,0,0,31,0.163108,0.260438,47.25,640,640,44,6
waymo,faster_rcnn,9114112687541091312_1100_000_1120_000_1544144339316236,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144339316236.png,28,3,31,0,0,31,0.458265,0.893132,47.25,640,640,44,15
